id,item
OIC-324,"Éducation thérapeutique, observance et automédication"
OIC-325,"Identification et gestion des risques liés aux médicaments et aux biomatériaux, risque iatrogène, erreur médicamenteuse (voir items 4 et 5)"
OIC-326,"Cadre réglementaire de la prescription thérapeutique et recommandations pour le bon usage"
OIC-327,"Principes de la médecine intégrative, utilité et risques des interventions non médicamenteuses et des thérapies complémentaires"
OIC-328,"Thérapeutiques non médicamenteuses et dispositifs médicaux"
OIC-329,"Connaître les caractéristiques des produits sanguins labiles (PSL) et leur spécificité"
OIC-330,"Prescription et surveillance des classes de médicaments les plus courantes chez l’adulte et chez l’enfant, hors anti-infectieux (voir item 177). Connaître le bon usage des principales classes thérapeutiques"
OIC-331,"Arrêt cardio-circulatoire"
OIC-332,"État de choc. Principales étiologies : hypovolémique, septique (voir item 158), cardio-génique, anaphylactique"
OIC-333,"Situations exceptionnelles"
OIC-334,"Prise en charge immédiate pré-hospitalière et à l’arrivée à l’hôpital, évaluation des complications chez : un brûlé, un polytraumatisé, un traumatisé thoracique, un traumatisé abdominal, un traumatisé des membres et/ou du ..."
OIC-335,"Orientation diagnostique et conduite à tenir devant un traumatisme crânio-facial et oculaire"
OIC-336,"Coma non traumatique chez l’adulte et chez l’enfant"
OIC-337,"Principales intoxications aiguës"
OIC-338,"Œdème de Quincke et anaphylaxie"
OIC-339,"Syndromes coronariens aigus"
OIC-340,"Accidents vasculaires cérébraux"
OIC-341,"Hémorragie méningée"
OIC-342,"Malaise, perte de connaissance, crise comitiale chez l’adulte (voir item 105)"
OIC-343,"État confusionnel et trouble de conscience chez l’adulte et chez l’enfant"
OIC-344,"Prise en charge d’une patiente atteinte de pré-éclampsie"
OIC-345,"Malaise grave du nourrisson et mort inattendue du nourrisson"
OIC-346,"Convulsions chez le nourrisson et chez l’enfant"
OIC-347,"Rétention aiguë d’urine"
OIC-348,"Insuffisance rénale aiguë - Anurie"
OIC-349,"Infection aiguë des parties molles (abcès, panaris, phlegmon des gaines)"
OIC-350,"Grosse jambe rouge aiguë"
OIC-351,"Agitation et délire aigu"
OIC-352,"Crise d’angoisse aiguë et attaque de panique"
OIC-353,"Risque et conduite suicidaires chez l’enfant, l’adolescent et l’adulte : identification et prise en charge"
OIC-354,"Syndrome occlusif de l’enfant et de l’adulte"
OIC-355,"Hémorragie digestive"
OIC-356,"Appendicite de l’enfant et de l’adulte"
OIC-357,"Péritonite aiguë chez l’enfant et chez l’adulte"
OIC-358,"Pancréatite aiguë"
OIC-359,"Détresse et insuffisance respiratoire aigüe du nourrisson, de l’enfant et de l’adulte"
OIC-360,"Pneumothorax"
OIC-361,"Lésions péri-articulaires et ligamentaires du genou, de la cheville et de l’épaule"
OIC-362,"Prothèses et ostéosynthèses"
OIC-363,"Fractures fréquentes de l’adulte et du sujet âgé"
OIC-364,"Fractures chez l’enfant : particularités épidémiologiques, diagnostiques et thérapeutiques"
OIC-365,"Surveillance d’un malade sous plâtre/résine"
OIC-366,"Exposition accidentelle aux liquides biologiques : conduite à tenir"
OIC-367,"Impact de l’environnement sur la santé"
